date,year,month,day,hour,load,wind_gen,solar_gen,co2
1/1/2021,2021,1,1,0,44084,13924,0,19333
1/1/2021,2021,1,1,1,43445,14046,0,18727
1/1/2021,2021,1,1,2,43129,14473,0,18377
1/1/2021,2021,1,1,3,42988,14060,0,18444
1/1/2021,2021,1,1,4,43189,12590,0,19144
1/1/2021,2021,1,1,5,43592,12013,0,20425
1/1/2021,2021,1,1,6,44627,10952,0,21206
1/1/2021,2021,1,1,7,45580,10690,0,22088
1/1/2021,2021,1,1,8,45974,9959,60,22578
1/1/2021,2021,1,1,9,45905,9693,1310,21718
1/1/2021,2021,1,1,10,45775,10486,2327,20387
1/1/2021,2021,1,1,11,45351,11152,2775,19725
1/1/2021,2021,1,1,12,44659,10736,2780,19543
1/1/2021,2021,1,1,13,43720,9225,2879,19565
1/1/2021,2021,1,1,14,42760,8112,2496,20096
1/1/2021,2021,1,1,15,42103,6516,2579,21105
1/1/2021,2021,1,1,16,41949,5033,2450,23740
1/1/2021,2021,1,1,17,43086,3587,834,26637
1/1/2021,2021,1,1,18,45737,3310,0,27662
1/1/2021,2021,1,1,19,46388,3711,0,27307
1/1/2021,2021,1,1,20,46021,3466,0,26982
1/1/2021,2021,1,1,21,45707,3722,0,26724
1/1/2021,2021,1,1,22,44989,3585,0,25844
1/1/2021,2021,1,1,23,43594,4639,0,24789
1/1/2022,2022,1,1,0,38124,12067,0,18261
1/1/2022,2022,1,1,1,37122,12884,0,17226
1/1/2022,2022,1,1,2,35936,14366,0,15582
1/1/2022,2022,1,1,3,35132,16463,0,13616
1/1/2022,2022,1,1,4,34602,18337,0,12451
1/1/2022,2022,1,1,5,34450,18162,0,12668
1/1/2022,2022,1,1,6,34571,18538,0,12908
1/1/2022,2022,1,1,7,34634,18307,7,12892
1/1/2022,2022,1,1,8,35603,17299,1343,13080
1/1/2022,2022,1,1,9,37914,16916,3458,13548
1/1/2022,2022,1,1,10,39986,17691,3243,14402
1/1/2022,2022,1,1,11,41833,17781,2691,16150
1/1/2022,2022,1,1,12,43161,16339,3589,17416
1/1/2022,2022,1,1,13,44005,14858,4741,18109
1/1/2022,2022,1,1,14,44248,14037,5070,18467
1/1/2022,2022,1,1,15,44207,14345,4631,18406
1/1/2022,2022,1,1,16,44336,16891,2012,18286
1/1/2022,2022,1,1,17,44981,18793,231,18439
1/1/2022,2022,1,1,18,46107,19858,0,18805
1/1/2022,2022,1,1,19,45944,20442,0,18028
1/1/2022,2022,1,1,20,45758,20859,0,17481
1/1/2022,2022,1,1,21,45518,21379,0,16700
1/1/2022,2022,1,1,22,44806,21760,0,16052
1/1/2023,2023,1,1,0,35829,21753,0,10961
1/1/2023,2023,1,1,1,35245,21570,0,10752
1/1/2023,2023,1,1,2,34599,21036,0,10794
1/1/2023,2023,1,1,3,34227,20595,0,10851
1/1/2023,2023,1,1,4,34093,20387,0,10876
1/1/2023,2023,1,1,5,34256,20057,0,10968
1/1/2023,2023,1,1,6,34747,19481,0,11602
1/1/2023,2023,1,1,7,35260,17942,41,12708
1/1/2023,2023,1,1,8,35986,16437,1251,13420
1/1/2023,2023,1,1,9,36670,13976,4559,13622
1/1/2023,2023,1,1,10,36898,10277,6094,15015
1/1/2023,2023,1,1,11,37254,9406,6107,15792
1/1/2023,2023,1,1,12,37761,9701,6355,15923
1/1/2023,2023,1,1,13,38076,8285,6433,16604
1/1/2023,2023,1,1,14,38768,7609,6460,17223
1/1/2023,2023,1,1,15,39557,8444,5359,17508
1/1/2023,2023,1,1,16,39785,9372,2615,18454
1/1/2023,2023,1,1,17,40468,10977,325,18987
1/1/2023,2023,1,1,18,41843,16129,0,17165
1/1/2023,2023,1,1,19,41403,20218,0,14886
1/1/2023,2023,1,1,20,40940,21557,0,14323
1/1/2023,2023,1,1,21,40171,22515,0,13504
1/1/2023,2023,1,1,22,39040,23885,0,12473
1/1/2023,2023,1,1,23,36650,22017,0,11714
1/1/2024,2024,1,1,0,41370,14826,0,17810
1/1/2024,2024,1,1,1,41631,13892,0,18195
1/1/2024,2024,1,1,2,41567,12973,0,18534
1/1/2024,2024,1,1,3,41536,11974,0,18987
1/1/2024,2024,1,1,4,42224,10799,0,20239
1/1/2024,2024,1,1,5,43240,8720,0,22451
1/1/2024,2024,1,1,6,44552,6656,0,24267
1/1/2024,2024,1,1,7,45323,5164,84,25490
1/1/2024,2024,1,1,8,46180,3316,3023,25294
1/1/2024,2024,1,1,9,46495,2016,7917,23400
1/1/2024,2024,1,1,10,46710,1540,9498,23207
1/1/2024,2024,1,1,11,46344,1801,10137,22198
1/1/2024,2024,1,1,12,45615,2002,10429,21003
1/1/2024,2024,1,1,13,44594,2056,10831,19386
1/1/2024,2024,1,1,14,44133,2198,11222,18385
1/1/2024,2024,1,1,15,44005,2717,11241,17835
1/1/2024,2024,1,1,16,44379,3390,7289,20158
1/1/2024,2024,1,1,17,46886,5076,927,24418
1/1/2024,2024,1,1,18,49044,6688,0,25351
1/1/2024,2024,1,1,19,49254,7502,0,25486
1/1/2024,2024,1,1,20,49452,7942,0,25264
1/1/2024,2024,1,1,21,49015,8100,0,24861
1/1/2024,2024,1,1,22,48130,8525,0,24164
1/1/2024,2024,1,1,23,41681,15869,0,22895
1/10/2021,2021,1,10,0,40929,11565,0,21457
1/10/2021,2021,1,10,1,40216,10110,0,20849
1/10/2021,2021,1,10,2,39659,11306,0,19734
1/10/2021,2021,1,10,3,39396,11449,0,20065
1/10/2021,2021,1,10,4,39506,11242,0,20634
1/10/2021,2021,1,10,5,40002,10583,0,22072
1/10/2021,2021,1,10,6,41129,9660,0,23035
1/10/2021,2021,1,10,7,42697,8293,0,24428
1/10/2021,2021,1,10,8,44431,8182,4,25868
1/10/2021,2021,1,10,9,46686,8008,100,26670
1/10/2021,2021,1,10,10,48773,8372,324,27151
1/10/2021,2021,1,10,11,50173,9212,623,27557
1/10/2021,2021,1,10,12,51538,9191,683,27859
1/10/2021,2021,1,10,13,52320,8755,753,27899
1/10/2021,2021,1,10,14,52321,8436,942,27943
1/10/2021,2021,1,10,15,52426,8522,878,28286
1/10/2021,2021,1,10,16,52499,8150,663,28677
1/10/2021,2021,1,10,17,53333,7855,301,29213
1/10/2021,2021,1,10,18,55206,7974,5,29885
1/10/2021,2021,1,10,19,55244,7754,0,29924
1/10/2021,2021,1,10,20,54639,7982,0,29311
1/10/2021,2021,1,10,21,53154,8237,0,28284
1/10/2021,2021,1,10,22,51160,7770,0,27490
1/10/2021,2021,1,10,23,49021,7414,0,26620
1/10/2022,2022,1,10,0,39499,14762,0,18985
1/10/2022,2022,1,10,1,39198,14378,0,19095
1/10/2022,2022,1,10,2,39391,14042,0,19361
1/10/2022,2022,1,10,3,39932,13754,0,20017
1/10/2022,2022,1,10,4,41281,11788,0,21350
1/10/2022,2022,1,10,5,44192,11332,0,23070
1/10/2022,2022,1,10,6,48469,11091,0,24844
